closing_AIR_2026_R1,opening_AIR,R1_gen_seats,institute
11422,9148,5,"Government Medical College, Firozabad,DAULATTAPUR JALESHAR ROAD NARKHI FIROZABAD"
11457,11457,1,"Government Medical College, Rajouri, J&K,Government Medical College, Kheora, Mehra, Rajouri, Jammu and Kashmir."
11560,10649,3,"Government Allopathic Medical College, Banda, UP,RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001"
11600,8387,7,"Soban Singh jeena Government institute of Medical science & Research, Almora,Near Vikas Bhawan Pandeykhola Almora"
11605,7068,5,"Government Medical College & Hospital Cuddalore, Since- 09-05-2025 (erstwhile Rajah Muthiah Medical College, cuddalore, T.N),Government Medical College and Hospital, Cuddalore District, Erstwhile Rajah Muthiah Medical College"
11615,6539,10,"Vijaynagar Institute of Medical Sciences, Bellary,Cantonment, Ballari"
11764,11764,1,"Government Medical College, Bettiah,Government Medical College Bettiah West Champaran Bihar- 845438"
11791,10513,3,"Government Medical College, Shivpuri, MP,Near Katha Mill, Gwalior Bypass Highway, Shivpuri"
11792,8862,13,"North Bengal Medical College, Darjeeling,Sushrutanagar, Darjeeling"
11808,6508,2,"ESIC Medical College and Hospital, Beltola,No. 242, Pir Ajan Fakir Road, Beltola, Guwahati, Assam-781022"
11884,9232,3,"Government Medical College, Shahjahanpur, UP,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH"
11895,8541,4,"Autonomous State Medical College Society, Etah, Uttar Pradesh,NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.- 207001"
11922,10696,6,"Government Medical College, Banswara,MADARESHWAR, RATLAM ROAD BANSWARA"
11947,9377,5,"Barasat Government Medical College & Hospital,80 Jessore Road Banamalipur JL NO 80and Uttorhat JL no 78 Barasat North Twenty Four Parganas 700124"
12042,10083,5,"Government Medical College, Karauli,mandrayal road karauli"
12136,7605,8,"Dr. Shankarrao Chavan Govt. Medical College, Nanded,VISHNUPURI NANDED MAHARASHTRA 431606"
12192,12192,1,"Government medical college, tonk, Government Medical College,Yusufpura at Charai, Rajasthan 304001"
12312,8103,6,"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur,LATE BALIRAM KASHYAP MEMORIAL GOVT. MEDICAL COLLEGE, DIMRAPAL GEEDAM ROAD , JAGDALPUR DIST-BASTAR"
12353,10579,3,"Virendra Kumar Sakhlecha Government Medical College,Kanawati, Mhow-Naseerabad Road, Neemuch"
12449,7740,6,"Government Medical College, Namakkal,353 MASTER PLAN COMPLEX SILUVAMPATTY NAMAKKAL"
12616,9940,5,"Diamond Harbour Government Medical College and Hospital, West Bengal,New Town, Post-Diamond Harbour, PS- Diamond Harbour, District South 24 Parganas"
12707,6483,13,"Assam Medial College, Dibrugarh,Borbari, Dibrugarh"
12710,7730,10,"Bankura Sammilani Medical College, Bankura,Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin- 722102"
12713,9368,5,"Government Medical College, Rampur, Basti,RAMPUR TAHSIL SADAR BASTI BASTI"
12751,12175,4,"Government Medical College, Datia, MP,NEAR 29TH BATTALION, N.H.75, DATIA"
12759,10756,4,"Government Medical College, Baran,Melkhedi, Chhapar Melkhedi Road Baran"
12772,12772,1,"Government Medical College Janjgir, Champa,government medical college janjgir champa, village- pendri, dist- janjgir champa. C.G"
12787,10616,4,"Government Medical College, Kathua,Chak Sajjan Kathua"
12951,12951,1,"Autonomous State Medical College Society, Fatehpur,Autonomous State Medical College Village chittaura near Allipur GT road fatehpur"
12959,9699,6,"Dharanidhar Medical College and Hospital (previously Government Medical College, Keonjhar),AT-KABITRA, NEAR DD COLLEGE, KEONJHARGARH, PS- TOWN POLICE STATION, DIST-KEONJHAR, ODISHA"
12970,10604,6,"Saheed Laxman Nayak Medical College & Hospital, Koraput,AT-JANIGUDA,KORAPUT"
13032,10371,5,"Government Medical College, Krishnagiri,Block-1, Polupalli, Krishnagiri"
13055,6270,4,"Government Sivagangai Medical College, Sivaganga,MANAMADURAI MAIN ROAD, KEELA VANIYANKUDI, SIVAGANGAI"
13110,10883,5,"Government Medical College, Virudhunagar,1 COLLECTORATE MASTER PLAN COMPLEX KOORAIKUNDU VILLAGE VIRUDHUNAGAR"
13177,12111,5,"Government Medical College, Khandwa, MP,Luv-Kush Nagar,Mundi Road,Khandwa (M.P.)"
13203,10989,3,"Hazaribagh Medical College, Hazaribagh,NEAR CENTRAL JAIL, HAZARIBAG"
13287,13143,2,"Autonomous State Medical College Pratapgarh,Pure Keshav Rai Gay Ghat Road Pratapgarh"
13308,11849,5,"Maharishi Chyawan Medical College, Koriawas,dirkoriawasgmc@gmail.com"
13482,11714,5,"Kodagu Institute of Medical Sciences, Kodagu,Kodagu Institute of Medical Sciences, Madikeri."
13597,9583,6,"Government Medical College, Nizamabad,R.P.Road, Near Bustand, Khaleelwadi Nizamabad"
13661,10955,4,"Maharshi Devraha Baba Autonomous State Medical College, Deoria,207 Hospital Road Saket nagar Deoria"
13719,11162,7,"Sri Bhausaheb Hire Government Medical College, Dhule,Shri.Bhusaheb Hire Government Medical College Malegaon Road Chakkarbardi Area Dhule"
13759,8300,6,"Government Medical College, Chhindwara, MP,Teachers Colony, Chhindwara, Madhya Pradesh 480001"
13799,12644,3,"Government Medical College, Purnea,govt.mcpurnea@gmail.com"
13813,11503,5,"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh,T.V.Tower road, Bendrachua, Raigarh"
13848,11260,5,"Government Medical College, Ariyalur,1 COLLEGE ROAD GOVERNMENT MEDICAL COLLEGE ARIYALUR TAMIL NADU PIN 621713"
13858,9542,10,"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati,SVIMS, ALIPIRI ROAD, TIRUPATI (Female Seat only )"
13873,11529,3,"Government Medical College (Bharat Ratna Shri Atal Bihari Vajpyee Memorial Med. Col.), Rajnandgaon,Bharat Ratna Late Shri Atal Bihari Vajpayee Memorial Medical College, Pendri, Rajnandgaon. Chhattisg"
13881,13404,5,"Government Medical College, Sundargarh,At-Chitabhanga,Po-Sankara,Dist- Sundargarh,Odisha,Pin-770001"
13905,9885,7,"Government Medical College, Latur,Government Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajasthan Vidyalaya, Lat"
13994,11441,8,"Government Medical College, Akola,Collector Office Road, Near Ashok Watika, Akola. State Maharashtra. Pin 444001"
14034,7443,10,"Gulbarga Institute of Medical Sciences, Gulbarga,Gulbarga Institute of Medical Sciences, Veeresh Nagar, Sedam Road, Kalaburagi"
14090,2948,4,"Regional Institute of Medical Sciences, Imphal,PO Lamphelpat, Imphal West District"
14159,13397,3,"Government Medical College, Kallakurichi,S.NO 251, AGARAKOTTALAM ROAD, SIRUVANGUR, KALLAKURICHI"
14214,8421,4,"Saheed Rendo Majhi Medical College and Hospital, Bhawanipatna, Kalahandi, Odisha (erstwhile Government Medical College, Bhawanipatna) ,At - Bhangabari, P.O. - Uditnarayanpur, Bhawanipatna, Dist - Kalahandi"
14239,8537,8,"Government Medical College, Anantnag,verinag Road Dialgam Anantnag 192210"
14248,12417,4,"Mahatma Vidur Autonomous State Medical College,Mahatma Vidur Autonomous State Medical College, Village Madhusudanpur Devidas, Post Kiratpur, Naziba"
14260,13101,2,"Jannayak Karpoori Thakur Medical College & Hospital, Madhepura, Bihar,JAJHAT SABAILA SINGHESHWAR ROAD DISTRICT MADHEPURA"
14308,13626,4,"Government Medical College, Ramanathapuram,No 1, Pattinamkathan, Collectorate Backside, Ramanathapuram."
14322,10427,7,"ACSR Government Medical College,OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH"
14366,12300,4,"Government Medical College, Satara,GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SATARA DISTRICT CIVIL HOSPITAL CAMPUS SADAR BAZAR CA"
14395,10328,5,"Government Medical College, Alibag,Government Medical College, District Civil Hospital area, Beach Road, Limaye wadi, Alibag, Dist. Rai"
14416,13401,2,"Sundarlal Patwa Govt. Medical College,Dean Office, Sunderlal Patwa Government Medical College, Mhow Neemuch Bypass, Mandsaur M.P."
14428,13754,3,"Government Medical College, Shahdol, MP,GRAM CHAMPA KUDRI ROAD NEAR NEW BUS STAND SHAHDOL MP"
14470,12368,6,"SRTR Medical College, Ambajogai,SWAMI RAMNAND TEERTH RURAL GOVERNMENT MEDICAL COLLEGE AMBAJOGAI DIST BEED MAHARASHTRA PIN- 431517"
14500,11173,4,"PABITRA MOHAN PRADHAN MEDICAL COLLEGE, TALCHER,AT/PO-DERA, P.S- COLLIERY DERA, TALCHER, DISTRICT-ANGUL, PIN-759103, ODISHA"
14600,8672,9,"Midnapore Medical College, Midnapore,5, Vidyasagar Road Midnapore 721101 Paschim Medinipur"
14609,13301,4,"Autonomous State Medical College Society, Hardoi,Gaura Danda, Sitapur Road, Hardoi"
14620,14008,3,"Autonomous State Medical College, Siddharthnagar,Autonomous State Medical College Siddharthnagar 71 Ashok Marg Village Mudila Naugarh Uttar Prade"
14627,12784,3,"Government Medical College, Nagapattinam,NO.1,MANALMEDU, ORATHUR VILLAGE, NAGAPATTINAM TK, NAGAPATTINAM DISTRICT"
14694,14320,3,"Autonomous State Medical College Sultanpur,Autonomous State Medical College Dubepur Sultanpur"
14802,14048,4,"Uma Nath Singh Autonomous State Medical College Society Jaunpur,UNS AUTONOMOUS STATE MEDICAL COLLEGE SIDDIQUEPUR SHAHGANJ ROAD JAUNPUR UP"
14833,13857,4,"Government Medical College Udhampur,Dhar Road near Sallain Tallab opp Head Post Office Udhampur"
14867,12603,4,"Rajiv Gandhi Institute of Medical Sciences, adilabad,MAIN ROAD, OLD NH 07, ADILABAD TOWN ADILABAD DISTRICT, TELANGANA STATE-504001"
15006,14115,3,"Government Medical College, Porbandar,Behind ITI and Navoday Vidyalay, Dharampur, Porbandar"
15048,8176,7,"Government Medical College, Chandrapur,KMSK GOVT. MEDICAL COLLEGE CHANDRAPUR, RAM NAGAR, CHANDRAPUR"
15063,12932,3,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair,Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104"
15118,12719,7,"Malda Medical College & Hospital, Malda,MaldaMedicalCollege, PS,EnglishBazar PO Dist Malda"
15154,9350,7,"Shri Vasant Rao Naik Govt. Medical College, Yavatmal,CIVIL LINES YAVATMAL"
15203,10326,8,"Government Medical College, Ananthapuram,GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU"
15208,13459,4,"Government Medical College, Amravati,Government Medical College District Women Hospital Campus Daffrin Shrikrishna Peth Amravati"
15257,13725,3,"GMERS Medical College, Navsari,GMERS Medical College, At- Khambhlav, Po- Sultanpur, Via- Abrama, Ta - Jalalpore, Dist - Navsari"
15379,11516,4,"Autonomous state medical college Amethi,Autonomous State Medical College, Tiloi, Amethi, Uttar Pradesh, Pin code- 229309."
15473,14568,5,"GOVERNMENT MEDICAL COLLEGE PHULBANI , KANDHAMAL,AT TILAKPADA, POST PAKALGAON, PS / TAHASIL KHAJURIPADA PHULBANI, KANDHAMAL"
15536,14337,6,"Government Medical College, Satna,Near Kendriya Vidyalaya No. 2, Kripalpur Satna"
15571,9898,8,"Government Medical College, Jalgaon,GOVERNMENT MEDICAL COLLEGE, JILHA PETH, NEAR MAIN POST OFFICE, JALGAON"
15575,11952,3,"Chamrajanagar Institute of Medical Sciences, Karnataka,SY NO.124, YEDAPURA VILLAGE , KASABA HOBLI, CHAMARAJANAGARA TALUK AND DISTRICT"
15637,14610,4,"Autonomous State Medical College Pilibhit,SH26 Bithaura Kalan Puranpur Road Pilibhit"
15669,9153,5,"Government Medical College, Ambernath,Survey No.128, Jambhulgaon Road, Ambernath West, District Thane"
15703,13044,5,"Autonomous State Medical College Kushinagar,Autonomous State Medical Collage, Kubersthan Road, Harka, Kushinagar"
15720,13103,5,"GOVERMENT MEDICAL COLLEGE, SHEOPUR,GOVERNMENT MEDICAL COLLEGE Village Nagda, near Nageshwar Mandir Sheopur M.P."
15735,11226,4,"Autonomous State Society Medical College Mirzapur,MAA VINDHYAVASINI AUTONOMOUS STATE MEDICAL COLLEGE PIPARDARH, VISHUNDERPUR, MIRZAPUR"
15877,11893,7,"Government Medical College, Seoni,Government Medical College, Kandipaar Village, Seoni"
15948,15519,2,"Shillong Medical College,PASTEUR HILLS LAWMALI SHILLONG"
15984,6603,7,"Silchar Medical College, Silchar,PO Silchar Medical College, Silchar"
16047,15934,3,"Autonomous State Medical College and Hospital Gonda,Chhavanni Sarkar Infront of Circuit House Gonda"
16082,15646,2,"Government Medical college and District Hospital, Ratnagiri,Hodekar Road, Udyamnagar, Patwardhanwadi, Ratnagiri, Maharashtra-415612"
16111,15270,6,"Autonomous State Medical College Society Ghazipur,R.T.I. Ground, Ghazipur (U.P) (233001)"
16131,14023,2,"Baba Kina Ram Autonomous State Medical College and Hospital Chandauli ,Baba kinaram autonomous state Medical college , Naubatpur ,Chandauli"
16141,14903,3,"Chikkamagaluru Institute of Medical Sciences, Chikkamagaluru,Director, Chikkamagaluru Institute of Medical Sciences, Teguru, Chikkamagaluru, Karnataka- 577133."
16205,12005,9,"Bidar Institute of Medical Sciences, Bidar,BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR UDGIR ROAD BIDAR-585401"
16215,14765,8,"Murshidabad Medical College & Hospitals, Murshidabad,STATION ROAD, P.O. AND P.S. BERHAMPORE, DIST. MURSHIDABAD"
16283,15764,4,"GOVERNMENT MEDICAL COLLEGE SINGRAULI ,Government Medical College Village Naugadh Waidhan Singrauli Madhya Pradesh"
16311,15128,6,"Government Medical College, Nandurbar,DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR"
16324,16324,1,"Government Medical College, Morbi ,Rajkot-Morbi Highway, Opp Toyota Showroom, Sakat Shanala, Morbi, Gujarat"
16409,12385,6,"Chandulal Chandrakar Memorial Govt. Medical College, Durg,Chandulal Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur"
16410,13860,5,"K.H. Patil Institute of Medical Sciences (previously Gadag Institute of Medical Sciences, Mallasamudra, Mulgund Road, Gadag),GADAG INSTITUTE OF MEDICAL SCIENCES GADAG Mallasamudra,Gadag-582103"
16478,9967,6,"Nandi Medical College and Research Institute Chikkaballapura (Chikkaballapura Institute of Medical Sciences Chikkaballapura ),AROORU VILLAGE,PERESANDRA POST, CHIKKABALLAPUR KARANATAKA"
16532,15446,5,"Dumka Medical College, Dighi Dumka,PHULO JHANO MEDICAL COLLEGE DUMKA, PO- Teliya Chak, PS- Dighi Dumka Jharkhand 814110, Email ID- prin"
16593,11741,8,"Sarat Chandra Chattopadhyay Government Medical College & Hospital, ,NH-16, Jadurberia, Uluberia, Howrah - 711316"
16623,16098,4,"Punyashloka Lokmata Devi Ahilyabai Holkar Autonomous State Medical College Auraiya,Sehud Auraiya"
16627,14977,4,"Government Medical College, Gondia,NEAR NEHRU CHOWK, K.T.S. HOSPITAL CAMPUS, GONDIA."
16771,11671,5,"Raichur Institute of Medical Sciences, Raichur,RAICHUR INSTITUTE OF MEDICAL SCIENCES INDUSTRIAL AREA, HYDERABAD ROAD, RAICHUR, Karnataka 584102"
16784,14759,3,"Government Medical College, Jalna,Government Medical College, Global Gurukul School, in front of Sushiladevi Lawns, Ambad-Mantha Bypas"
16795,14663,2,"Autonomous State Medical College Lalitpur,Amarpur Galla Mandi Jhansi Road Lalitpur"
16819,9421,3,"Autonomous State Medical College and Hospital Kaushambi,Kadipur Manjhanpur Kaushambi District"
16968,15071,5,"Palamu Medical College, Palamu,Pokhraha Khurd, P.O- Rajwadih, P.S- Medininagar, Dist. Palamu"
17028,12241,5,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole),BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH"
17064,11164,10,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa),GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P"
17155,14592,7,"Rajmata Shrimata Devendra Kumari Singhdeo Government Medical College, Ambikapur (Surguja), Chhattisgarh,Kanyaparisar Road Gangapur Ambikapur District Surguja"
17201,15549,5,"Government Medical College, Baramulla,Kanth Bagh Baramulla, Jammu and Kashmir"
17260,12457,5,"Government Medical College, Panchmahal Godhra,GMERS Medical College Panchmahal Godhra, Near New RTO, Chanchopa, Godhra, Dist: Panchmahal, GUJARAT"
17283,15469,5,"Autonomous State Medical College, Sonebhadra,Rounp Rd, Churk,Robertsganj, Sonebhadra"
17310,15548,3,"Jalpaiguri Government Medical College,Hospital Road, Jalpaiguri, West Bengal- 735101"
17372,14450,8,"Karwar Institute of Medical Sciences, Karwar,DISTRICT HOSPITAL PREMISES, MG ROAD, KARWAR"
17440,13862,3,"Shrimati Indira Gandhi Memorial Govt. Medical College, Kanker, Chattisgarh (previously Government Medical College, Kanker),Late Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh"
17451,17363,3,"Lakhimpur Medical College,Chowkham Saboti North Lakhimpur Lakhimpur"
17492,12203,6,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam,Balaga Srikakulam"
17506,16958,5,"Government Medical College, Sindhudurg,Dean Government Medical College Sindhudurg"
17519,16608,5,"Government Medical College, Osmanabad,New Building, Civil Hospital Compound, Marwad Galli, Osmanabad"
17548,9846,3,"Government medical College, Quthbullapur,Government Medical College Quthbullapur, Plot A2-4, ECIL cross roads, Kushaiguda Hyderabad, Med"
17572,17572,1,"Govt.Medical Collage Manendragarh,Govt. Medical College Manendragarh, Jhagrakhand Road, Dist- MCB C.G."
17574,15370,5,"Govt. Medical College, Doda, Kashmir,Government Medical College & Hospital Ghat Doda"
17629,14817,5,"Government Medical College, Mahabubnagar,Government Medical College Mahabubnagar,Thirumala Hills, Edira Village.Mahabubnagar"
17646,13033,7,"Jorhat Medical College & Hospital , Jorhat,Kushal Konwar Path, Barbheta, Jorhat, Assam, 785001"
17689,15015,7,"Koppal Institute of Medical Sciences, Koppal,DIRECTOR, KIMS,KOPPAL. GAGNAVATI ROAD, KIDDIDAL GATE,KOPPAL-583231"
17707,16826,5,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla Dist Narmada, GUJARAT."
17836,17099,5,"Government Medical College, Parbhani,ITI CAMPUS, BEHIND DSM COLLEGE, JINTUR ROAD, PARBHANI - 431401"
17842,13955,4,"Government Medical College Handwara,MAIDAN CHOGAL, HANDWARA, KUPWARA"
17895,14497,6,"Agartala Government Medical College,Agartala,Kunjaban, Agartala, Tripura West"
17996,11853,5,"Government Medical College, Nirmal,BESIDE DIVYA GARDEN , DIVYA NAGAR NIRMAL"
18095,17358,5,"Chitradurga Medical College and Research Institute,P B Road Chitradurga"
18115,17779,9,"Haveri Institute of Medical Sciences, Haveri,Devagiri-Yellapura, Haveri-581110, Karnataka"
18214,14900,7,"Rampurhat Government Medical College & Hospital, Rampurhat,prinrampurhatgmch@gmail.com"
18303,18303,1,"Government Medical College, Karimnagar,The Additional DME /Principal, Government Medical College Karimnagar, Jagtial NH 563, Kothapalli,"
18360,15715,7,"Yadgiri Institute of Medical Sciences, Yadgiri,Chittapur Main Road, Yadgiri."
18371,13910,8,"Prafulla Chandra Sen Government Medical College & Hospital,Arambagh, Hooghly"
18420,16066,2,"Government Medical College, Siddipet,Survey No 54, Ensanpalli Village, Siddipet Mandal, Siddipet"
18456,14175,3,"Government Medical College, Buldhana,DISTRICT WOMEN HOSPITAL, T.B. HOSPITAL CAMPUS, DHAD ROAD, BULDHANA."
18547,15631,7,"Purulia Government Medical College & Hospital,Vill Hatuara PO Vivekanandanagar PS Purulia Muffasil Purulia 723147"
18561,15445,7,"Raiganj Government Medical College & Hospital, Raiganj,ABDULGHATA CAMPUS, KARNAJORA, PO- KARNAJORA,PS- RAIGANJ, DISTRICT- UTTAR DINAJPUR,PIN- 733130, STATE"
18616,16568,5,"Government Medical College, Bhandara,District Hospital Campus, Sant Kabir Ward, Bhandara"
18694,15884,7,"Coochbehar Government Medical College & Hospital, Coochbehar, WB,Vivekananda Street, Pilkhana, Beside Panchanan Barma University, Coochbehar"
18929,18697,3,"Government Medical College, Korba,Govt. Medical College, Village Jhagrha, Balco-urga Road, City Korba C.G."
18945,17676,5,"Government Medical College, Gadchiroli,Government Medical College, Mul road complex, Gadchiroli"
19005,15502,3,"GOVERNMENT MEDICAL COLLEGE JANGAON,gmc.jangaon@gmail.com, 24, Weavers Colony, Jangaon, Telangana, 506167"
19019,17735,6,"Tezpur Medical College & Hospital, Tezpur,Tezpur Medical College and Hospital Bihaguri Tezpur 784010 Dist Sonitpur Assam, Assam, 784010"
19088,16893,6,"Government Medical College, Washim,Government Medical College, Washim District womens Hospital building, Nalanda Nagar, Chikhali Road"
19104,14889,8,"Government Medical College, Mahasamund,In front of Sai temple raipur road village kharora Mahasamund"
19181,15490,6,"Jawaharlal Nehru Institute of Medical Sciences, Porompet, Imphal,POROMPAT, IMPHAL - EAST, MANIPUR - 795005"
19256,14307,5,"Pragjyotishpur Medical College,Office of the Principal-Cum-Chief Superintendent, Pragjyotishpur Medical College & Hospital, Guwahat"
19381,18849,5,"Government Medical College, Hingoli,Government Medical College, Washim Road, Balsond, Hingoli"
19386,13849,8,"Government Medical College, Suryapet,AMARAVADI NAGAR, TALLAGADDA, SURYAPET-508213 Suraypet Dist"
19405,19134,2,"Government Medical College, Jogulumba Gadwal,GMC Jogulamba Gadwal, Near Doulath peer Dargah, Doudharpally, Ring Road, Sangala Cheruvu, Gadwal Tow"
19430,17695,5,"Government Medical College, Nalgonda,OFFICE OF THE PRINCIPAL, GOVERNMENT MEDICAL COLLGEGE,GANDHAMVARI GUDEM,SLBC,SAGAR ROAD,NALGONDA,TELA"
19442,10993,6,"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam,Jania Road, Jotigaon, Barpeta, Assam"
19526,14266,5,"Government Medical College, Nandyal,principalgmcnandyala@gmail.com"
19642,14399,5,"Government medical college, vizianagaram,Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003"
19716,18052,10,"Tamralipto Government Medical College & Hospital,227 Haldia Tamluk Mecheda Road, Tamluk, Purba Medinipur"
19743,15458,7,"Jhargram Government Medical College & Hospital, Jhargram,Jhargram Government Medical College and Hospital, Vidyasagarpally, Jhargram, West Bengal."
19765,17880,5,"Government Medical College, Rajamahendravaram,Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram."
19893,15178,5,"Government Medical College, Nagarkurnool,Sy no. 237, Uyyalawada village, Nanagarkurnool"
19918,19486,4,"GOVERNMENT MEDICAL COLLEGE KHAMMAM,Wyra Road, Khammam"
19930,19621,3,"Dhubri Medical College, Dhubri,P.O. Jhagrarpar SPO, Dhubri, Assam, PIN - 783325"
19946,19946,1,"Govt. Medical College, Kabeerdham ,DISTRICT COURT ROAD, NEAR COLLECTORATE, KAWARDHA, DISTRICT KABIRDHAM PIN 491995"
19957,12108,6,"Government Medical College, Eluru,SURVEY NO 60, BEHIND OLD BUS STAND, ELURU"
20082,15965,4,"Government Medical College, Churachandpur,Hiangtam Lamka, I.B. Road, Churachandpur District"
20117,18513,2,"Government Medical College, Narayanpet,Government Medical College Narayanpet Jajapur Narayanpet District Telangana Pincode 509210"
20173,20173,1,"Government Medical College Dantewada,NA"
20212,19732,2,"Government Medical College, Maheshwaram,BIET COLLEGE CAMPUS, MANGALPALLY VILLAGE, IBRAHIMPATNAM, RANGAREDDY DISTRICT"
20269,19798,2,"Government medical college, jashpur-kunkuri,Government medical college, Jashpur- Kunkuri, Jhargaon, Jila-Jashpur (C.G.) Pin No. - 496331"
20292,19496,5,"Diphu Medical College & Hospital, Diphu, Assam,principaldiphu@gmail.com"
20481,18966,4,"Government Medical College, Paderu,TALARASINGI VILLAGE,PADERU, ASR DISTRICT"
20611,15935,4,"Sikkim Government Medical College,Sochakgang, Sichey, Gangtok"
20637,20020,8,"Government Medical College, Machilipatnam,KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002"
20656,17618,6,"Government Medical College, Sangareddy,OPP. TOWN POLICE STATION, NETAJI NAGAR, SANGAREDDY DISTRICT, TELANGANA - 502001"
20670,20265,3,"Government Medical College, Mulugu,gmc.mulugu@gmail.com"
20760,20021,3,"Nagaon Medical College,Dipholu, Mohkhuli Chariali, Laokhua Road, Nagaon"
20996,20427,4,"GOVERNMENT MEDICAL COLLEGE KUMURAM BHEEM ASIFAFABAD,Government Medical College Ankushapur District Kumuram Bheem Asifabad Telangana"
21018,18721,4,"Government Medical College, Mahabubabad,Government Medical College, Mahabubabad, Servey No 551-1-P ,Torrur Road ,Near SP Office , Mahabubaba"
21029,19530,5,"Government Medical College, Rajanna Sircilla,GOVERNMENT MEDICAL COLLEGE NEAR KASTURBA GIRLS SCHOOL PEDDUR SIRCILLA DISTRICT RAJANNA SIRCILLA"
21143,19201,5,"Nalbari Medical College, Nalbari,PO Dakhingaon Dist Nalbari PS Ghograpar"
21266,19749,5,"Zoram Medical College, Mizoram,Academic Block, Zoram Medical College and Hospital, Falkawn, Aizawl District, Mizoram - 796005"
21301,20169,3,"Government Medical College, Narsampet,Sarwapuram, Pakhal road, Land mark- Bharath petrol pump, Narsamapet"
21357,21357,1,"Government Medical College, Mancherial,Government Medical College Mancherial, Gudipet Haziput mandal, Mancherial District, Telangana, 5042"
21436,19736,4,"Government Medical College, Ramagundam,SURVEY NUMBER 92 95 96 MALKAPUR VILLAGE RAMAGUNDAM"
21440,14171,4,"Government Medical College, Wanaparthy,Marrikunta, Pebbair Road, Wanaparthy District, Telangana state."
21579,21176,5,"Government Medical College, Bhadradri Kothagudem,Besides Sammakka Saarakka temple, Opp KSM Petrol bunk, end of 6th Battalion Rd, Palvancha, Telangana"
21686,18892,4,"Government Medical College Medak,PILLIKOTYAL, MEDAK MANDAL, MEDAK DISTRICT"
21754,20566,3,"Nagaland Institute of Medical Sciences & Research,Phreibagei, Kohima"
21904,21147,6,"Government Medical College, Jagtial,Government Medical College, Jagtial, Jagtial Village, Jagtial Tehsil, Jagtial Dist"
21921,20243,4,"GOVERNMENT MEDICAL COLLEGE VIKARABAD,ANANTHAGIRI HILLS VIKARABAD VIKARABAD DISTRICT TELANGANA 501101"
21929,21139,5,"Kokrajhar Medical College,Rangalikhata Pt.-1, Kokrajhar"
22099,20700,4,"Tinsukia Medical College - Assam Pin - 786146,Lohari Bangali Gaon, Tinsukia"
22116,19107,6,"Government Medical College, Kamareddy,Office of the Principal, Government Medical College Devanpally, Kamareddy, Telangana"
22235,18167,2,"GOVERNMENT MEDICAL COLLEGE, KODANGAL,SURVEY NO 51 KOKAT BESIDE MOTHER AND CHILD HOSPITAL TANDUR VIKARABAD DISTRICT TELANGANA 501141 gmc"
22293,20599,5,"Government Medical College, Jayashankar Bhupalpally,Manzoor Nagar Road, Besides thousand quarters, Jayashankar, Bhupalpally"
22342,22342,1,"Government Medical College, Piduguralla,BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT"
