college,state,R1_closing_AIR,official_url,disclosure_found,disclosure_url,scribd_found,scribd_url,verdict,sessions_exposed,checked_date,notes
"Government Medical College, Namakkal",Tamil Nadu,10014,https://namakkalmedicalcollege.in,N,https://namakkalmedicalcollege.in/page/student-merit-list,N,,PASS,,2026-08-19,"Student Merit List page inspected: only a PARAMEDICAL DEGREE merit list, no MBBS roster. Paramedical is out of scope per brief (MBBS/all-entrant only)."
"Government Medical College, Quthbullapur",Telangana,10381,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Gtmc, Thiruvarur",Tamil Nadu,10400,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Gulbarga Institute Of Medical Sciences, Gulbarga",Karnataka,10554,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Krishnagiri",Tamil Nadu,10674,https://gmckrishnagiri.org,N,,N,,PASS,,2026-08-19,158 links scanned; no HOT disclosure/admitted-list link. Only admission-documents-required PDF and hostel details.
Government Medical College,Tamil Nadu,10875,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Vijaynagar Inst Of Med. Sc, Bellary",Karnataka,11026,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Govt. Pudukkottai Medical College Hopt., Pudukkott",Tamil Nadu,11149,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Nizamabad",Telangana,11152,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Gadag Institute Of Medical Sciences, Gadag Institute Of Medical Sciences",Karnataka,11211,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Ariyalur",Tamil Nadu,11373,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Ramanathapuram",Tamil Nadu,11523,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Ananthapuram",Andhra Pradesh,11786,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Bidar Institute Of Medical Sci., Bidar",Karnataka,11883,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Kallakurichi",Tamil Nadu,11990,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Andaman And Nicobar Islands Institute Of Medical S, Director Aniims",Andaman & Nicobar,12014,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Kodagu Institute Of Medical Sciences, Kodagu",Karnataka,12096,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Nagapattinam",Tamil Nadu,12262,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Haveri Institute Of Medical Sciences, Karnataka",Karnataka,12288,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
C. Institute Of Medical Sciences,Karnataka,12303,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Acsr Govt Medical College, Nellore",Andhra Pradesh,12352,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Chikkaballapura Institute Of Medical Sciences, Karnataka",Karnataka,12520,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Karwar Institute Of Medical Sciences, Karwar",Karnataka,12698,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Svims - Sri Padmavathi Medical College For Women, Tirupati",Andhra Pradesh,12719,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Rajiv Gandhi Institute Medical Sce Of Adilabad,Telangana,12965,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Raichur Inst. Of Medical Sci., Raichur",Karnataka,12980,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Nashik",Maharashtra,8011,https://gmcnashik.in,N,,N,,PASS,,2026-08-19,"No B.1.11/admitted-students page on site. Only name-bearing doc is a SCHOLARSHIP student list 2024-25/2025-26 - not an admitted-students roster, so not a FAIL vector per brief section 1, but flagged: the college does publish some student names."
"Namo Medical Education & Research Institute, Govt Medical College Silvassa",DNH & DD,8069,https://namomeridnhdd.in,Y,https://namomeridnhdd.in/admitted-student-in-ug-details,N,,FAIL,2019; 2021; 2021-22; 2022-23; 2023-24 (5 name-bearing PDFs),2026-08-19,"Brief exemplar, re-verified this run. Drupal 8 self-host."
"Sagar Dutta Medical College & Hospital, Kolkata",West Bengal,8390,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Sri Jagannath Medical College & Hospital, Puri",Odisha,8718,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Saheed Laxman Nayak Med. College And Hos., Koraput",Odisha,9193,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Govt Medical College Baramati,Maharashtra,9314,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad",Jharkhand,9623,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Esic Pgimsr, Joka",West Bengal,9732,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Chhattisgarh Institute Of Medical Sciences, Bilasp",Chhattisgarh,9779,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Mg Inst. Of Medical Sciences, Sevagram Wardha",Maharashtra,9917,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Burdwan Medical College, Burdwan",West Bengal,10078,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Medinirai Medical College (Previously Known As Palamu Medical College),Jharkhand,10270,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Dr. Vaishampayam Memorial M.C., Sholapur",Maharashtra,10285,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Gmers Medical College,Gujarat,10293,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Miraj",Maharashtra,10401,https://gmcmiraj.edu.in,unresolved,https://gmcmiraj.edu.in/node/505,N,,PROVISIONAL,,2026-08-19,Student Corner links an MBBS UG admission 2026-27 PDF that is a scanned image with no extractable text - cannot rule out an embedded name roster. Needs OCR or manual eyeball.
"North Bengal Med.Coll, Darjeeling",West Bengal,10533,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Gmers Medical College, Morbi",Gujarat,10609,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Neigrihms, Shillong",Meghalaya,10679,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"College Of Medicine And Jnm Hospital, Kalyani",West Bengal,10895,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Diamond Harbour Govt Medical College, New Town",West Bengal,10909,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Chandulal Chandrakar Memorial Government Medical College, Durg",Chhattisgarh,10942,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Goverment Medical College Nandurbar Mahararastra,Maharashtra,11157,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur, Rajarshee",Maharashtra,11177,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Lt. B R K Government Medical College, Jagdalpur",Chhattisgarh,11198,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Dr.S.C.Govt Medical College, Nanded",Maharashtra,11240,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Sh Vasant Rao Naik Govt.M.C., Yavatmal",Maharashtra,11519,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Assam Medical College, Dibrugarh",Assam,11571,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Of Medical College And Hospital, Balasore",Odisha,11639,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Barasat Government Medical College & Hospital, West Bengal",West Bengal,11775,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Jorhat Medical College And Hospital, Jorhat",Assam,11815,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Bankura Sammilani Med Coll, Bankura",West Bengal,11895,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Govt. Medical College And Hospital, Chandrapur",Maharashtra,12027,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Sheikh Bhikhari Medical College & Hospital, Hazaribag ( Formerly Called",Jharkhand,12056,https://hazaribagmedicalcollege.org,Y,https://hazaribagmedicalcollege.org/index.php/student-list/,N,,FAIL,"MBBS 2025-26 (hdr Name of Student, 153 rows) CURRENT; 2023-24 MCI admission list; 2021-22; 2019",2026-08-19,WordPress self-host. Site nav carries 2025-26 mbbs admission list + Student List + College Information. Current intake named.
"Lt. L A M Govt. Medical College, Raigarh",Chhattisgarh,12091,https://gmcraigarh.edu.in,N,https://gmcraigarh.edu.in/nmcmandatory.php,N,,PASS,,2026-08-19,"NMC Mandatory Disclosures page fully enumerated: dean/MS info, establishment, intake capacity, teaching staff, infrastructure, clinical material, research, affidavit. No student name list among them. No admitted-students link anywhere on site."
"Government Medical College And District General Hospital, Ratnagiri",Maharashtra,12093,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Government Medical College And General Hospital,Maharashtra,12178,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Regional Inst Of Medical Sci, Imphal",Manipur,12184,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Latur",Maharashtra,12233,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Agartala Govt. Medical College, Agartala",Tripura,12341,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Bhima Bhoi Medical College And Hospital, Balangir",Odisha,12424,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Pt. Raghunath Murmu Med. College, Baripada",Odisha,12463,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Bhandara",Maharashtra,12648,https://gmcbhandara.edu.in,N,,N,,PASS,,2026-08-19,"Only merit lists found are Senior Resident (staff recruitment), not MBBS entrants. No admitted-student or B.1.11 page."
"Midnapore Medical College, Midnapur",West Bengal,12676,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Shri Bhausaheb Hire Govt. M.C., Dhule",Maharashtra,12677,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Swami Ramanand Tirth Rural M.C, Ambajogai",Maharashtra,12681,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Tezpur Medical College, Tezpur",Assam,12773,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Kanker",Chhattisgarh,12797,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Akola",Maharashtra,12815,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba",Himachal Pradesh,8222,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"S.S. Medical College, Rewa",Madhya Pradesh,8400,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Govt Medical College,Rajasthan,8491,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
Govt Medical College Barmer Rajasthan,Rajasthan,8652,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Jawaharlal Nehru Medical College, Bhagalpur",Bihar,8746,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Atal Bihari Vajpayee Government Medical College, Vidisha",Madhya Pradesh,8827,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Government Medical College, Jhunjhunu",Rajasthan,8943,medicaleducation.rajasthan.gov.in/mcjhunjhunu (Angular SPA - not renderable here),unknown (SPA),,Y,https://www.scribd.com/document/847121182/Batch-24-25-GMC-JJN,FAIL,"MBBS Batch 2024-25, 100 students, names + fathers names",2026-08-19,"FAIL via third-party re-hosting vector (brief section 1 bullet 2). Own site is the Angular SPA family; Playwright unusable in this env (Chromium HTTPS CONNECT reset), so self-host status unverified - but re-hosting alone is disqualifying."
"Government Medical College Chittorgarh, Government Medical College Chittorgarh",Rajasthan,9008,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
"Gmc Dausa Rajasthan, Gmc Dausa Mitrapura Bhandarej Mod Dausa",Rajasthan,9156,,N/A,,N,,PROVISIONAL,,2026-08-19,Not positively determined in this run - see coverage limits in README. Multi-college third-party (Scribd/DocsLib/Studocu/Slideshare) sweep for this state returned no name-bearing roster attributable to this college.
